"","clsId","score","term"
"8","370328",122,"abl"
"26","370328",187,"access"
"27","370329",129,"access"
"41","370328",312,"accord"
"42","370329",249,"accord"
"50","370328",122,"abl"
"71","370328",187,"access"
"72","370329",129,"access"
"119","370328",312,"accord"
"120","370329",249,"accord"
"148","370328",253,"ack"
"149","370329",158,"ack"
"175","345173",111,"act"
"297","370328",272,"alloc"
"298","370329",251,"alloc"
"413","370328",342,"apparatus"
"414","370329",258,"apparatus"
"473","345173",115,"area"
"512","370328",115,"assign"
"523","370328",181,"associ"
"524","370329",131,"associ"
"532","370252",142,"ata"
"533","370328",371,"ata"
"534","370329",252,"ata"
"595","370328",143,"band"
"596","370329",119,"band"
"612","370328",142,"base"
"613","370329",114,"base"
"618","370328",465,"base_st"
"619","370329",337,"base_st"
"621","370331",132,"base_st"
"751","370328",171,"ber"
"752","370329",125,"ber"
"786","370328",127,"block"
"787","370329",109,"block"
"793","370328",148,"bodi"
"794","370329",104,"bodi"
"896","370328",271,"carri"
"897","370329",221,"carri"
"902","370328",110,"carrier"
"947","370328",125,"cell"
"1001","370328",598,"channel"
"1002","370329",528,"channel"
"1214","370328",159,"communic"
"1215","370329",115,"communic"
"1297","370328",203,"communication_system"
"1298","370329",169,"communication_system"
"1398","370328",154,"compris"
"1399","370329",121,"compris"
"1458","370328",310,"configur"
"1459","370329",206,"configur"
"1494","370328",183,"connect"
"1495","370329",102,"connect"
"1570","345173",104,"control"
"1572","370328",245,"control"
"1573","370329",179,"control"
"1582","370328",112,"control_channel"
"1583","370329",101,"control_channel"
"1714","370328",175,"correspond"
"1715","370329",130,"correspond"
"1824","370252",139,"data"
"1825","370328",371,"data"
"1826","370329",252,"data"
"2062","345173",140,"detect"
"2080","345173",109,"determin"
"2081","370252",151,"determin"
"2082","370328",411,"determin"
"2083","370329",299,"determin"
"2141","345173",318,"devic"
"2142","370252",185,"devic"
"2143","370328",533,"devic"
"2144","370329",343,"devic"
"2146","370331",124,"devic"
"2174","370328",136,"differ"
"2190","345173",112,"direct"
"2205","370328",190,"disclos"
"2206","370329",140,"disclos"
"2239","345173",240,"display"
"2447","370328",148,"embodi"
"2448","370329",104,"embodi"
"2490","370328",190,"end"
"2491","370329",139,"end"
"2568","370328",258,"equip"
"2569","370329",205,"equip"
"2589","370328",108,"establish"
"2872","345173",203,"form"
"2873","370252",231,"form"
"2874","370328",1024,"form"
"2875","370329",753,"form"
"2877","370331",164,"form"
"3046","370328",142,"group"
"3047","370329",114,"group"
"3072","370328",120,"handov"
"3073","370329",115,"handov"
"3074","370331",115,"handov"
"3196","370328",206,"identifi"
"3197","370329",117,"identifi"
"3264","370328",114,"includ"
"3299","370328",199,"indic"
"3300","370329",164,"indic"
"3320","370252",167,"inform"
"3321","370328",774,"inform"
"3322","370329",582,"inform"
"3324","370331",111,"inform"
"3420","370328",170,"int"
"3672","370328",213,"link"
"3673","370329",181,"link"
"3702","370328",319,"loc"
"3703","370329",273,"loc"
"3762","370328",119,"low"
"3877","370328",131,"map"
"3878","370329",117,"map"
"3975","370328",322,"messag"
"3976","370329",222,"messag"
"3992","370328",109,"met"
"3999","345173",149,"method"
"4000","370252",220,"method"
"4001","370328",924,"method"
"4002","370329",693,"method"
"4004","370331",172,"method"
"4144","370328",105,"mobile_st"
"4366","370252",179,"network"
"4367","370328",648,"network"
"4368","370329",470,"network"
"4370","370331",254,"network"
"4469","345173",193,"nit"
"4471","370328",249,"nit"
"4472","370329",136,"nit"
"4478","370328",115,"node"
"4545","370328",162,"number"
"4546","370329",119,"number"
"4613","345173",250,"one"
"4614","370252",183,"one"
"4615","370328",724,"one"
"4616","370329",551,"one"
"4633","370328",146,"oper"
"4718","370252",134,"packet"
"4719","370328",242,"packet"
"4720","370329",154,"packet"
"4780","370328",102,"paramet"
"4866","370328",185,"perform"
"4867","370329",137,"perform"
"4988","345173",243,"play"
"4992","345173",239,"plural"
"4993","370252",112,"plural"
"4994","370328",444,"plural"
"4995","370329",343,"plural"
"5007","370328",167,"point"
"5027","370328",212,"port"
"5028","370329",147,"port"
"5044","345173",132,"posit"
"5287","370328",125,"process"
"5359","345173",175,"provid"
"5360","370252",116,"provid"
"5361","370328",393,"provid"
"5362","370329",258,"provid"
"5402","345173",145,"put"
"5453","370328",105,"radio"
"5565","345173",171,"rat"
"5567","370328",126,"rat"
"5634","370252",134,"receiv"
"5635","370328",538,"receiv"
"5636","370329",375,"receiv"
"5638","370331",104,"receiv"
"5873","370328",231,"request"
"5874","370329",177,"request"
"5910","370328",391,"resourc"
"5911","370329",351,"resourc"
"5956","370328",179,"respond"
"5957","370329",132,"respond"
"5965","370328",130,"respons"
"6233","370328",165,"select"
"6234","370329",131,"select"
"6249","370328",123,"send"
"6298","370328",106,"serv"
"6308","370328",142,"servic"
"6354","370328",329,"set"
"6355","370329",250,"set"
"6404","370328",194,"signal"
"6405","370329",144,"signal"
"6586","370328",416,"sourc"
"6587","370329",375,"sourc"
"6699","370328",119,"station"
"6794","370328",143,"subfram"
"6795","370329",118,"subfram"
"6918","370328",129,"symbol"
"6937","370252",157,"system"
"6938","370328",587,"system"
"6939","370329",416,"system"
"6941","370331",113,"system"
"7070","345173",159,"termin"
"7071","370252",228,"termin"
"7072","370328",728,"termin"
"7073","370329",525,"termin"
"7075","370331",154,"termin"
"7298","370328",340,"transmiss"
"7299","370329",283,"transmiss"
"7367","370252",103,"transmit"
"7368","370328",668,"transmit"
"7369","370329",505,"transmit"
"7504","345173",186,"unit"
"7506","370328",245,"unit"
"7507","370329",132,"unit"
"7605","370252",119,"use"
"7606","370328",531,"use"
"7607","370329",397,"use"
"7613","370328",154,"user"
"7614","370329",113,"user"
"7633","370328",139,"user_equip"
"7634","370329",116,"user_equip"
"7690","370252",103,"valu"
"7691","370328",152,"valu"
"7692","370329",127,"valu"
"7857","370328",120,"wireless_communication_system"
"7955","370252",182,"work"
"7956","370328",652,"work"
"7957","370329",470,"work"
"7959","370331",254,"work"
